index,brightness_down,brightness_up,color_shift,contrast_down,contrast_up,gaussian_blur,original,rotate_-15,rotate_15,saturation_down,saturation_up
brightness_down,1.0,0.2262124680751114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
brightness_up,0.2262124680751114,1.0,0.002799101331460229,0.2262124680751114,0.4636492196536873,0.04225744153679357,0.00036077662702093164,0.22124462520496868,1.0,0.0018592204830942868,0.0005009140813391997
color_shift,1.0,0.002799101331460229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contrast_down,1.0,0.2262124680751114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contrast_up,1.0,0.4636492196536873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gaussian_blur,1.0,0.04225744153679357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
original,1.0,0.00036077662702093164,1.0,1.0,1.0,1.0,1.0,1.0,0.48816254086140776,1.0,1.0
rotate_-15,1.0,0.22124462520496868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rotate_15,1.0,1.0,1.0,1.0,1.0,1.0,0.48816254086140776,1.0,1.0,1.0,0.5981932829178405
saturation_down,1.0,0.0018592204830942868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
saturation_up,1.0,0.0005009140813391997,1.0,1.0,1.0,1.0,1.0,1.0,0.5981932829178405,1.0,1.0
